"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67"
"pyrimidine-containing compound transmembrane transport (GO:0072531)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cardiac muscle cell proliferation (GO:0060043)",NA,21271,74,67,28,0,0,0.0845967382083096,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of filopodium assembly (GO:0051489)",NA,21271,74,67,34,0,0,0.101785709687236,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ketone biosynthetic process (GO:0042181)",NA,21271,74,67,25,0,0,0.0758811479360018,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular ketone metabolic process (GO:0042180)",NA,21271,74,67,58,1,0.0172413793103448,0.0144224520335513,1,"HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cytosolic calcium ion homeostasis (GO:0051480)",NA,21271,74,67,175,1,0.00571428571428571,0.105292482917938,1,"BBC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of cytosolic calcium ion concentration (GO:0051481)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway (GO:0051482)",NA,21271,74,67,15,0,0,0.0462346461049716,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of transcription from RNA polymerase III promoter (GO:0006359)",NA,21271,74,67,21,0,0,0.0641330930165918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"urate metabolic process (GO:0046415)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sphingoid metabolic process (GO:0046519)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mitotic spindle assembly checkpoint (GO:0007094)",NA,21271,74,67,31,0,0,0.0932313450640775,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mitotic G2 DNA damage checkpoint (GO:0007095)",NA,21271,74,67,13,0,0,0.0401938918354918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of exit from mitosis (GO:0007096)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"organic hydroxy compound metabolic process (GO:1901615)",NA,21271,74,67,475,3,0.00631578947368421,0.062735154373604,1,"SULT1A1","MAOA","HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"axonemal dynein complex assembly (GO:0070286)",NA,21271,74,67,13,0,0,0.0401938918354918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ceramide biosynthetic process (GO:0046513)",NA,21271,74,67,31,0,0,0.0932313450640775,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mitotic cell cycle checkpoint (GO:0007093)",NA,21271,74,67,102,0,0,0.275705481828695,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of microtubule polymerization or depolymerization (GO:0031110)",NA,21271,74,67,51,0,0,0.148779841166354,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of microtubule polymerization or depolymerization (GO:0031111)",NA,21271,74,67,31,0,0,0.0932313450640775,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of microtubule polymerization or depolymerization (GO:0031112)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of microtubule polymerization (GO:0031113)",NA,21271,74,67,21,0,0,0.0641330930165918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of microtubule depolymerization (GO:0031114)",NA,21271,74,67,24,0,0,0.0729578257883019,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of defense response to virus (GO:0050688)",NA,21271,74,67,76,1,0.0131578947368421,0.0239827556662497,1,"NLRX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of microtubule polymerization (GO:0031116)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of mRNA processing (GO:0050685)",NA,21271,74,67,21,0,0,0.0641330930165918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of mRNA processing (GO:0050684)",NA,21271,74,67,68,0,0,0.193350058724123,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of defense response to virus (GO:0050687)",NA,21271,74,67,15,1,0.0666666666666667,0.00099943229352701,1,"NLRX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of mRNA processing (GO:0050686)",NA,21271,74,67,16,0,0,0.0492409633194504,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803)",NA,21271,74,67,13,0,0,0.0401938918354918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of epithelial cell proliferation (GO:0050680)",NA,21271,74,67,109,0,0,0.291602922943125,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of peptidyl-threonine phosphorylation (GO:0010801)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of peptidyl-threonine phosphorylation (GO:0010800)",NA,21271,74,67,16,0,0,0.0492409633194504,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aromatic amino acid family catabolic process (GO:0009074)",NA,21271,74,67,18,0,0,0.0552256210840805,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
